City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Diego de Almagro,58,CL,1579794848,37,-26.37,-70.05,77.18,8.68
North Bend,90,US,1579794848,87,43.41,-124.22,55,6.93
Taian,100,CN,1579794848,78,36.19,117.12,39,1.99
Laguna,40,US,1579794849,87,38.42,-121.42,48.99,4
Kasongo-Lunda,0,CD,1579794849,48,-6.47,16.82,86.13,5.66
Basar,97,IN,1579794849,98,27.98,94.67,43.29,3.53
Maun,20,BW,1579794849,28,-19.98,23.42,96.8,8.05
Moose Factory,90,CA,1579794902,78,51.26,-80.61,14,9.17
Honningsvag,100,NO,1579794902,71,70.98,25.97,27.05,21.03
Thompson,40,CA,1579794902,83,55.74,-97.86,-7.6,4.7
Basay,0,PH,1579794902,78,9.41,122.64,77.34,5.68
Madison Heights,1,US,1579794902,79,42.49,-83.11,35.01,2.51
Saint-Paul,90,RE,1579794902,78,-21.01,55.27,82.4,5.82
Kadom,89,RU,1579794903,82,54.56,42.47,21,9.91
Bouna,90,CI,1579794903,5,9.27,-3,102.6,9.6
Potoru,100,SL,1579794903,38,7.51,-11.48,94.64,3.4
Muhafazat Lahij,95,YE,1579794903,72,13.17,44.58,73.85,8.79
Iskateley,100,RU,1579794903,93,67.68,53.15,8.44,16.55
Pasighat,100,IN,1579794903,63,28.07,95.33,59.47,9.01
Puri,46,IN,1579794904,94,19.8,85.85,73.4,7.65
Coos Bay,90,US,1579794664,100,43.37,-124.22,55,6.93
Rio Grande,75,BR,1579794904,54,-32.03,-52.1,84.2,13.87
Penzance,40,GB,1579794904,87,50.12,-5.54,48.99,14.99
Catherinas Lust,0,GY,1579794904,75,6.4,-57.6,78.49,11.39
Urdoma,100,RU,1579794904,93,61.75,48.54,16.25,8.99
Volga,100,RU,1579794904,68,57.95,38.39,21.74,11.05
Kandrian,61,PG,1579794905,94,-6.22,149.55,75.4,5.77
Mount Pleasant,1,US,1579794905,70,32.79,-79.86,50,5.82
Ridgecrest,20,US,1579794905,92,35.62,-117.67,42.01,4.7
Arrondissement de Poitiers,100,FR,1579794672,65,46.58,0.33,44.01,10.29
Mackay,86,AU,1579794905,88,-21.15,149.2,80.01,3.51
Bettiah,0,IN,1579794862,62,26.8,84.5,57.54,8.52
Kaabong,100,UG,1579794905,25,3.48,34.15,81.05,7.31
Havre-Saint-Pierre,90,CA,1579794905,86,50.23,-63.6,28.4,12.75
Codajas,100,BR,1579794906,96,-3.84,-62.06,77.52,3.56
Mount Gambier,40,AU,1579794906,81,-37.83,140.77,53.6,9.17
Pingliang,100,CN,1579794906,85,35.54,106.69,22.59,4.14
Manado,40,ID,1579794906,100,1.49,124.85,73.4,1.12
Meiktila,82,MM,1579794906,37,20.87,95.87,68.38,5.23
Eten,44,PE,1579794906,29,-6.91,-79.86,66.2,4.7
Tahe,0,CN,1579794907,79,52.33,124.73,-13.38,6.82
North Myrtle Beach,1,US,1579794440,70,33.82,-78.68,50,3.36
Asau,0,RO,1579794907,55,46.43,26.4,36,12.75
Timmins,90,CA,1579794907,100,48.47,-81.33,23,8.05
Portland,90,US,1579794669,93,45.52,-122.68,55.4,14.99
Pierre,90,US,1579794907,85,44.37,-100.35,25,11.41
Ulladulla,90,AU,1579794834,41,-35.35,150.47,79,14.99
Balakirevo,94,RU,1579794908,82,56.51,38.84,18.55,12.68
Wajid,100,SO,1579794908,27,3.81,43.25,92.88,11.77
Praia,3,CV,1579794908,48,14.92,-23.51,84.2,17.22
Skibbereen,75,IE,1579794962,93,51.55,-9.27,44.6,4.7
Bubaque,95,GW,1579794962,49,11.28,-15.83,82.22,5.01
Dubrovnik,0,HR,1579794962,71,42.65,18.09,53.6,3.36
Olinda,75,BR,1579794962,70,-8.01,-34.86,86,10.29
Kota Tinggi,75,MY,1579794666,83,1.74,103.9,80.6,8.05
Zyryanka,48,RU,1579794963,98,65.75,150.85,-37.37,0.69
Sayyan,48,YE,1579794963,63,15.17,44.32,60.49,7.14
Mushie,100,CD,1579794963,34,-3.02,16.9,95.43,2.19
Dwarka,100,IN,1579794963,58,22.24,68.97,73.4,20.42
Njombe,100,TZ,1579794963,96,-9.33,34.77,63.03,2.53
Karratha,0,AU,1579794963,74,-20.74,116.85,84.15,17.72
Hirara,70,JP,1579794964,72,24.8,125.28,72.55,6.85
Roebourne,0,AU,1579794857,47,-20.78,117.13,86.95,12.86
OEstersund,75,SE,1579794964,70,63.18,14.64,42.8,10.29
Eyl,23,SO,1579794964,84,7.98,49.82,78.4,23.78
Buraidah,0,SA,1579794890,43,26.33,43.98,55.4,6.93
Dalby,2,AU,1579794964,88,-27.18,151.27,77,9.17
Hurghada,0,EG,1579794964,42,27.26,33.81,64.4,10.29
Port Hardy,90,CA,1579794964,100,50.7,-127.42,44.6,3.56
Tukuyu,100,TZ,1579794965,95,-9.25,33.65,67.78,1.19
Malakal,31,SS,1579794965,9,9.53,31.66,86.77,9.01
Mandurah,0,AU,1579794965,72,-32.55,115.7,69.01,8.05
Los Algarrobos,40,PA,1579794965,66,8.5,-82.43,86,2.24
Staraya Toropa,32,RU,1579794965,59,56.28,31.67,27.45,9.33
Myitkyina,3,MM,1579794965,62,25.38,97.4,58.32,2.93
Babati,100,TZ,1579794965,83,-4.22,35.75,74.66,2.62
Catio,84,GW,1579794966,10,11.28,-15.25,102.09,7
Caetite,100,BR,1579794966,96,-14.07,-42.48,67.37,8.55
Tuatapere,60,NZ,1579794966,92,-46.13,167.68,54,1.99
Cocula,90,MX,1579794966,71,20.37,-103.82,64,0.31
Tual,15,ID,1579794966,71,-5.67,132.75,83.43,10.58
Ketchikan,100,US,1579794897,98,55.34,-131.65,32.49,5.86
Erenhot,3,CN,1579794966,73,43.65,111.98,10,2.95
Emerald,75,AU,1579794966,74,-23.53,148.17,82.4,11.41
Atbasar,100,KZ,1579794967,96,51.8,68.33,30.74,17.69
Sao Jose da Coroa Grande,100,BR,1579794967,80,-8.9,-35.15,81.09,14.45
Hastings,75,GB,1579794894,87,50.86,0.57,46.99,4.7
Lavrentiya,0,RU,1579794671,78,65.58,-171,-14.75,3.2
Pisco,75,PE,1579794967,30,-13.7,-76.22,81,9.17
Sarzana,20,IT,1579794967,54,44.11,9.96,60.8,2.66
Pestravka,100,RU,1579794967,95,52.41,49.96,22.84,10
Markova,40,UA,1579794968,79,48.68,24.41,32,6.71
Banepa,20,NP,1579794968,76,27.63,85.52,48.2,3.36
Soyo,20,AO,1579794968,70,-6.13,12.37,89.6,9.17
Nioro,100,GM,1579794968,7,13.35,-15.75,99.57,10
Charters Towers,100,AU,1579794729,80,-20.1,146.27,76.69,10.02
Nantucket,1,US,1579794949,60,41.28,-70.1,42.8,10.29
Pinoma,3,PH,1579795022,81,16.88,121.72,66.49,3.4
Tayoltita,0,MX,1579795022,60,24.08,-105.93,54.81,5.91
Santa Cruz de la Sierra,75,BO,1579795022,51,-17.8,-63.17,89.6,16.11
Sawakin,0,SD,1579795022,60,19.11,37.33,71.37,19.37
Ixtapa,90,MX,1579794743,88,20.7,-105.2,75,4.7
Maamba,0,ZM,1579795022,52,-17.37,27.15,82.8,5.5
Ebeltoft,100,DK,1579795022,93,56.19,10.68,46.4,8.05
Ayna,40,PE,1579795023,52,-12.65,-73.92,66.2,3.36
Gravatai,40,BR,1579795023,54,-29.94,-50.99,82.99,20.8
Laives,5,IT,1579795023,24,46.42,11.33,45,6.93
Kourou,10,GF,1579795023,55,5.16,-52.65,86,9.17
Kuching,75,MY,1579795024,83,1.55,110.33,80.6,4.7
Puerto Escondido,20,MX,1579795024,69,15.85,-97.07,77,0.6
Canutama,72,BR,1579795024,53,-6.53,-64.38,94.15,1.68
Mocuba,44,MZ,1579795024,92,-16.84,36.99,77.76,4.9
Yerbogachen,100,RU,1579795024,95,61.28,108.01,-6.95,7.4
Ukiah,90,US,1579795024,100,39.15,-123.21,46.99,2.1
Bima,48,ID,1579795024,94,-8.47,118.72,73.56,1.19
Xam Nua,0,LA,1579795025,74,20.42,104.04,60.28,3.13
Ambon,71,ID,1579795025,77,-3.7,128.18,81.09,7.67
Batagay-Alyta,8,RU,1579795025,80,67.8,130.41,-34.47,2.46
Aleksandrov Gay,89,RU,1579795025,88,50.15,48.57,26.55,14.56
Bontang,0,ID,1579795025,73,0.13,117.5,81.73,14.88
Xinzhou,100,CN,1579795025,79,38.41,112.73,22.17,0.47
Tupang,27,PH,1579795026,86,17.92,121.64,64.69,2.01
Basco,38,PH,1579795026,75,20.45,121.97,76.95,17.34
Aninoasa,0,RO,1579794977,47,44.97,25.43,37.4,9.17
Mayfield,90,US,1579795026,60,36.74,-88.64,41,10.29
Lorengau,4,PG,1579794950,74,-2.02,147.27,82.96,11.48
Lagoa,100,PT,1579795026,72,39.05,-27.98,56.64,11.63
Mumford,62,GH,1579795026,30,5.26,-0.76,98.28,9.48
Pavelets,78,RU,1579795027,62,53.79,39.25,21,3
Nicoya,2,CR,1579795027,50,10.15,-85.45,69.01,5.64
Tuscaloosa,90,US,1579794812,70,33.21,-87.57,43,9.17
Waingapu,12,ID,1579795027,75,-9.66,120.26,84.07,11.5
Senanga,100,ZM,1579795027,56,-16.12,23.27,79.2,10.69
Paraiso,75,CR,1579795027,68,9.84,-83.87,77,13.87
Ninghai,90,CN,1579795027,93,29.29,121.42,54,6.71
Canasgordas,50,CO,1579795028,79,6.75,-76.03,65.03,2.44
Curanilahue,20,CL,1579795028,54,-37.47,-73.35,70.88,6.67
Serebryansk,90,KZ,1579795028,86,49.69,83.29,32,15.66
Zhangjiakou Shi Xuanhua Qu,0,CN,1579795028,66,40.61,115.04,18.1,2.98
Krasnyy Yar,100,RU,1579795028,80,46.53,48.35,33.8,8.95
Ust-Nera,91,RU,1579795028,99,64.57,143.2,-36.18,1.21
Pyaozerskiy,87,RU,1579795029,82,65.83,31.17,11.62,6.31
Douglasville,90,US,1579794836,100,33.75,-84.75,41,11.41
Kimberley,53,ZA,1579795029,15,-28.73,24.76,95,6.93
Cooma,90,AU,1579795029,81,-36.23,149.13,53.6,3.36
Skelleftea,97,SE,1579795082,88,64.75,20.95,32,8.05
Aksarka,100,RU,1579795082,95,66.56,67.8,12.79,6.24
Mhlume,40,SZ,1579795082,54,-26.03,31.85,82.4,13.87
Ulverstone,0,AU,1579795082,86,-41.15,146.17,54,23.29
Itaituba,40,BR,1579795082,70,-4.28,-55.98,87.8,3.36
Humaita,86,BR,1579795082,59,-7.51,-63.02,91.33,0.45
Zilair,100,RU,1579795082,96,52.23,57.44,22.32,5.35
Amahai,80,ID,1579795083,73,-3.33,128.92,82.06,13.87
Santa Cruz de Barahona,20,DO,1579795083,74,18.21,-71.1,82.4,11.41
Guaraniacu,90,BR,1579795083,78,-25.1,-52.88,71.6,10.29
Sumbe,76,AO,1579795083,71,-11.21,13.84,83.95,8.55
Nemuro,100,JP,1579795083,75,43.32,145.57,28.22,5.06
